Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752747166,100,,Aggregated,28.600000,0.000000,1700,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1211,0,1700.0,3040.361492437869,740.0467569823377,5112.92834096821,718.691990090834
1752747167,100,,Aggregated,28.800000,0.000000,1700,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1242,0,1700.0,3037.5816666119676,740.0467569823377,5112.92834096821,718.2729468599034
1752747168,100,,Aggregated,28.700000,0.000000,1700,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1259,0,1700.0,3036.5677224408364,740.0467569823377,5112.92834096821,718.1231135822081
1752747169,100,,Aggregated,30.100000,0.000000,1800,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1298,0,1800.0,3058.920317848537,740.0467569823377,5112.92834096821,720.0585516178736
1752747170,100,,Aggregated,29.000000,0.000000,1800,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1323,0,1800.0,3061.559574463792,740.0467569823377,5112.92834096821,720.4444444444445
1752747171,100,,Aggregated,29.000000,0.000000,1900,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1342,0,1800.0,3063.143075076341,740.0467569823377,5112.92834096821,720.5
1752747172,100,,Aggregated,29.000000,0.000000,4100,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1375,0,4100.0,3071.4301938425565,740.0467569823377,5112.92834096821,721.5869090909091
1752747173,100,,Aggregated,28.600000,0.000000,4200,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1400,0,4100.0,3073.495880011758,740.0467569823377,5112.92834096821,722.0085714285714
1752747174,100,,Aggregated,28.900000,0.000000,4200,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1433,0,4200.0,3081.4162109076246,740.0467569823377,5112.92834096821,722.8646196789952
1752747175,100,,Aggregated,28.500000,0.000000,4200,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1465,0,4200.0,3079.711309720566,740.0467569823377,5112.92834096821,722.8450511945392
1752747176,100,,Aggregated,27.600000,0.000000,4200,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1503,0,4200.0,3081.659285565138,740.0467569823377,5115.882095997222,722.8436460412508
1752747177,100,,Aggregated,28.400000,0.000000,2000,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1528,0,1900.0,3072.951073685656,740.0467569823377,5115.882095997222,721.7748691099476
1752747178,100,,Aggregated,29.700000,0.000000,1900,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1549,0,1900.0,3072.80312289666,740.0467569823377,5115.882095997222,721.7127178825049
